Year,Response,ec_hours,hw_hours,pressure,activity
5th,223,5,2,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,224,5,1,3,Gym
5th,225,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,226,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,227,5,1,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,228,1,1,1,Calisthenics training 
5th,229,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,230,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,231,5,1,5,"Team Sports (Hurling,Soccer etc)"
5th,232,2,1,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,233,4,3.5,2,"Team Sports (Hurling,Soccer etc)"
5th,234,4,0.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,235,5,2,4,"Music (Instrument, Choir etc);Gym"
5th,236,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,237,1,0.5,2,Gym
5th,238,5,2,2,"Solo Sports (Tennis, Rowing etc)"
5th,239,4,3.5,1,"Team Sports (Hurling,Soccer etc);Gym"
5th,240,5,0.5,2,"Team Sports (Hurling,Soccer etc);Gym"
5th,241,5,0.5,5,"Solo Sports (Tennis, Rowing etc)"
5th,242,4,2,1,"Team Sports (Hurling,Soccer etc)"
5th,243,2,3.5,2,"Academic (Chess, Debating etc)"
5th,244,5,0.5,2,"Team Sports (Hurling,Soccer etc);Academic (Chess, Debating etc);Artistic (Painting, Drawing etc)"
5th,245,3,0.5,5,"Team Sports (Hurling,Soccer etc)"
5th,246,5,1,4,"Music (Instrument, Choir etc)"
5th,247,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Artistic (Painting, Drawing etc)"
5th,248,5,3.5,4,Bodybuilding
5th,249,5,0.5,1,"Team Sports (Hurling,Soccer etc); Gym"
5th,250,5,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,251,5,0.5,2,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc);Scouts"
5th,252,5,0.5,4,"Solo Sports (Tennis, Rowing etc)"
5th,253,4,0.5,1,"Music (Instrument, Choir etc);Artistic (Painting, Drawing etc)"
5th,254,3,1,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Artistic (Painting, Drawing etc)"
5th,255,5,0.5,3,"Team Sports (Hurling,Soccer etc)"
5th,256,5,2,3,Gym
5th,257,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,258,5,1,3,"Team Sports (Hurling,Soccer etc)"
5th,259,4,2,1,"Team Sports (Hurling,Soccer etc)"
5th,260,5,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,261,5,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,262,5,2,3,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
5th,263,5,1,2,"Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,264,4,1,1,"Team Sports (Hurling,Soccer etc)"
5th,265,3,1,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
5th,266,4,0.5,1,"Team Sports (Hurling,Soccer etc)"
5th,267,5,2,4,"Solo Sports (Tennis, Rowing etc)"
5th,268,5,0.5,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,269,2,2,4,Dw abt it mate
5th,270,3,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,271,4,1,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,272,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,273,3,2,3,"Solo Sports (Tennis, Rowing etc)"
5th,274,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,275,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,276,3,3.5,5,"Solo Sports (Tennis, Rowing etc)"
5th,277,5,0.5,5,"Team Sports (Hurling,Soccer etc)"
5th,278,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,279,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,280,5,1,4,"Solo Sports (Tennis, Rowing etc)"
5th,281,5,1,2,"Solo Sports (Tennis, Rowing etc)"
5th,282,5,2,2,"Team Sports (Hurling,Soccer etc)"
5th,283,5,3.5,2,"Team Sports (Hurling,Soccer etc)"
5th,284,5,2,2,"Solo Sports (Tennis, Rowing etc);Gym"
5th,285,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,286,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
